YearSiteVisit,FlightDate,year,siteid,flightdate
2013_SJER_1,2013061320,2013,SJER,2013-06-13
2013_SJER_1,2013061117,2013,SJER,2013-06-11
2013_SOAP_1,2013061216,2013,SOAP,2013-06-12
2013_CPER_1,2013062514,2013,CPER,2013-06-25
2013_TEAK_1,2013061416,2013,TEAK,2013-06-14
2013_TEAK_1,2013061517,2013,TEAK,2013-06-15
2014_HARV_2,2014052918,2014,HARV,2014-05-29
2014_HARV_2,2014060113,2014,HARV,2014-06-01
2014_HARV_2,2014060213,2014,HARV,2014-06-02
2014_HARV_2,2014052913,2014,HARV,2014-05-29
2014_JERC_1,2014052114,2014,JERC,2014-05-21
2015_GRSM_1,2015081314,2015,GRSM,2015-08-13
2015_GRSM_1,2015081411,2015,GRSM,2015-08-14
2015_GRSM_1,2015080513,2015,GRSM,2015-08-05
2015_GRSM_1,2015080313,2015,GRSM,2015-08-03
2015_GRSM_1,2015081611,2015,GRSM,2015-08-16
2015_GRSM_1,2015080413,2015,GRSM,2015-08-04
2015_MLBS_1,2015082112,2015,MLBS,2015-08-21
2015_TALL_1,2015071713,2015,TALL,2015-07-17
2015_TALL_1,2015071813,2015,TALL,2015-07-18
2015_TALL_1,2015072013,2015,TALL,2015-07-20
2015_TALL_1,2015071913,2015,TALL,2015-07-19
2015_TALL_1,2015071614,2015,TALL,2015-07-16
2015_DELA_1,2015072213,2015,DELA,2015-07-22
2015_DELA_1,2015072613,2015,DELA,2015-07-26
2015_DELA_1,2015072513,2015,DELA,2015-07-25
2015_LENO_1,2015072013,2015,LENO,2015-07-20
2015_LENO_1,2015072513,2015,LENO,2015-07-25
2015_LENO_1,2015072112,2015,LENO,2015-07-21
2016_HOPB_1,2016081813,2016,HOPB,2016-08-18
2016_DELA_2,2016050713,2016,DELA,2016-05-07
2016_DELA_2,2016050813,2016,DELA,2016-05-08
2016_WOOD_1,2016063017,2016,WOOD,2016-06-30
2016_WOOD_1,2016062913,2016,WOOD,2016-06-29
2016_LENO_2,2016050813,2016,LENO,2016-05-08
2016_LENO_2,2016051413,2016,LENO,2016-05-14
2016_UKFS_1,2016071214,2016,UKFS,2016-07-12
2016_UKFS_1,2016071614,2016,UKFS,2016-07-16
2016_OAES_1,2016042114,2016,OAES,2016-04-21
2016_OAES_1,2016042314,2016,OAES,2016-04-23
2016_HARV_3,2016082016,2016,HARV,2016-08-20
2016_HARV_3,2016081813,2016,HARV,2016-08-18
2016_HARV_3,2016082817,2016,HARV,2016-08-28
2016_HARV_3,2016082413,2016,HARV,2016-08-24
2016_HARV_3,2016081613,2016,HARV,2016-08-16
2016_CHEQ_2,2016090514,2016,CHEQ,2016-09-05
2016_CHEQ_2,2016091215,2016,CHEQ,2016-09-12
2016_TALL_2,2016050713,2016,TALL,2016-05-07
2016_TALL_2,2016050614,2016,TALL,2016-05-06
2016_SCBI_1,2016072113,2016,SCBI,2016-07-21
2016_SCBI_1,2016072013,2016,SCBI,2016-07-20
2016_SCBI_1,2016072313,2016,SCBI,2016-07-23
2016_GRSM_2,2016061018,2016,GRSM,2016-06-10
2016_GRSM_2,2016060817,2016,GRSM,2016-06-08
2016_GRSM_2,2016060812,2016,GRSM,2016-06-08
2016_GRSM_2,2016061413,2016,GRSM,2016-06-14
