siteid,month,first_img,last_img
ABBY,2017-06,2017-06-22T18:39:24Z,2017-06-23T00:58:01Z
ARIK,2017-05,2017-05-22T15:35:02Z,2017-05-25T17:12:24Z
BARR,2017-07,2017-07-28T00:36:20Z,2017-07-28T04:20:31Z
BARR,2018-07,2018-07-10T19:33:54Z,2018-07-12T01:35:35Z
BART,2014-06,2014-06-02T19:07:04Z,2014-06-02T21:06:38Z
BART,2016-08,2016-08-25T14:55:39Z,2016-08-27T17:13:06Z
BART,2017-08,2017-08-14T14:01:16Z,2017-08-14T15:57:29Z
BART,2018-08,2018-09-08T14:03:45Z,2018-09-08T19:18:25Z
BLAN,2016-08,2016-07-27T15:44:51Z,2016-08-08T14:44:04Z
BLAN,2017-07,2017-07-30T19:29:39Z,2017-08-01T16:32:14Z
BLUE,2017-05,2017-05-06T15:09:21Z,2017-05-06T16:25:20Z
BONA,2017-08,2017-08-05T19:36:37Z,2017-08-06T21:53:53Z
BONA,2018-08,2018-06-24T19:35:54Z,2018-08-11T22:45:06Z
CLBJ,2017-05,2017-05-01T15:27:09Z,2017-05-01T18:53:26Z
CPER,2013-06,2013-06-25T06:12:01Z,2013-06-25T08:32:53Z
CPER,2017-05,2017-05-24T15:32:12Z,2017-05-24T18:36:19Z
CUPE,2018-05,2018-05-14T13:19:10Z,2018-05-20T14:12:26Z
DCFS,2016-06,2016-06-29T14:55:46Z,2016-06-30T22:10:35Z
DCFS,2017-06,2017-06-19T15:24:21Z,2017-06-26T21:11:59Z
DEJU,2017-07,2017-07-30T19:38:41Z,2017-08-06T23:20:18Z
DEJU,2018-08,2018-07-28T19:34:55Z,2018-08-10T20:41:45Z
DELA,2015-07,2015-07-22T15:12:39Z,2015-07-26T16:06:44Z
DELA,2016-05,2016-05-07T15:28:15Z,2016-05-08T15:12:25Z
DELA,2017-05,2017-05-15T15:02:09Z,2017-05-26T17:09:51Z
DSNY,2014-05,2014-05-18T15:04:27Z,2014-05-18T18:49:36Z
DSNY,2016-09,2016-09-25T10:52:36Z,2016-10-01T10:19:41Z
DSNY,2017-09,2017-09-26T15:46:20Z,2017-09-28T16:35:13Z
DSNY,2018-10,2018-10-07T14:02:10Z,2018-10-14T18:23:17Z
GRSM,2015-08,2015-08-03T14:28:29Z,2015-08-16T15:51:04Z
GRSM,2016-06,2016-06-08T13:06:23Z,2016-06-14T15:03:02Z
GRSM,2017-10,2017-10-05T17:14:30Z,2017-10-26T18:57:34Z
GUAN,2018-05,2018-05-10T13:42:12Z,2018-05-20T14:31:04Z
GUIL,2018-05,2018-05-21T11:28:57Z,2018-05-21T12:40:48Z
HARV,2014-06,2014-06-01T15:22:58Z,2014-06-02T17:11:44Z
HARV,2016-08,2016-08-16T14:30:03Z,2016-08-28T18:24:11Z
HARV,2017-08,2017-08-13T16:21:22Z,2017-08-23T17:57:35Z
HARV,2018-09,2018-08-28T14:36:35Z,2018-09-05T18:30:57Z
HEAL,2017-07,2017-07-31T20:12:19Z,2017-08-07T21:42:13Z
HEAL,2018-08,2018-06-26T19:27:48Z,2018-07-31T22:26:15Z
HOPB,2016-08,2016-08-18T14:14:43Z,2016-08-18T14:58:18Z
HOPB,2017-08,2017-08-23T16:05:52Z,2017-08-23T16:53:20Z
JERC,2014-05,2014-05-21T16:06:29Z,2014-05-21T19:03:04Z
JERC,2016-09,2016-09-20T10:52:49Z,2016-10-03T14:56:54Z
JERC,2017-09,2017-09-17T14:51:03Z,2017-09-18T18:23:20Z
JERC,2018-09,2018-09-16T15:57:39Z,2018-09-20T16:49:56Z
JORN,2017-08,2017-08-23T16:31:14Z,2017-08-31T19:12:12Z
