YearSiteVisit,FlightDate,year,siteid,flightdate,domanID,siteID,domainName,flightbxID
2013_SOAP_1,2013061216,2013,SOAP,2013-06-12,D17,BIGC,Pacific Southwest,D17_SOAP_R1_P1_v2
2013_TEAK_1,2013061416,2013,TEAK,2013-06-14,D17,TECR,Pacific Southwest,D17_TEAK_R2_P1_v3
2013_TEAK_1,2013061517,2013,TEAK,2013-06-15,D17,TECR,Pacific Southwest,D17_TEAK_R2_P1_v3
2014_JERC_1,2014052114,2014,JERC,2014-05-21,D03,FLNT,Southeast,D03_JERC_R2_P1_v1
2015_GRSM_1,2015081314,2015,GRSM,2015-08-13,D07,LECO,Appalachians & Cumberland Plateau,D07_GRSM_R1_P1_all_v1
2015_GRSM_1,2015081411,2015,GRSM,2015-08-14,D07,LECO,Appalachians & Cumberland Plateau,D07_GRSM_R1_P1_all_v1
2015_GRSM_1,2015080513,2015,GRSM,2015-08-05,D07,LECO,Appalachians & Cumberland Plateau,D07_GRSM_R1_P1_all_v1
2015_GRSM_1,2015080313,2015,GRSM,2015-08-03,D07,LECO,Appalachians & Cumberland Plateau,D07_GRSM_R1_P1_all_v1
2015_GRSM_1,2015081611,2015,GRSM,2015-08-16,D07,LECO,Appalachians & Cumberland Plateau,D07_GRSM_R1_P1_all_v1
2015_GRSM_1,2015080413,2015,GRSM,2015-08-04,D07,LECO,Appalachians & Cumberland Plateau,D07_GRSM_R1_P1_all_v1
2015_TALL_1,2015071713,2015,TALL,2015-07-17,D08,MAYF,Ozarks Complex,D08_TALL_C1_P1_v1
2015_TALL_1,2015071813,2015,TALL,2015-07-18,D08,MAYF,Ozarks Complex,D08_TALL_C1_P1_v1
2015_TALL_1,2015072013,2015,TALL,2015-07-20,D08,MAYF,Ozarks Complex,D08_TALL_C1_P1_v1
2015_TALL_1,2015071913,2015,TALL,2015-07-19,D08,MAYF,Ozarks Complex,D08_TALL_C1_P1_v1
2015_TALL_1,2015071614,2015,TALL,2015-07-16,D08,MAYF,Ozarks Complex,D08_TALL_C1_P1_v1
2015_DELA_1,2015072213,2015,DELA,2015-07-22,D08,BLWA,Ozarks Complex,D08_DELA_R1_P1_v1
2015_DELA_1,2015072613,2015,DELA,2015-07-26,D08,BLWA,Ozarks Complex,D08_DELA_R1_P1_v1
2015_DELA_1,2015072513,2015,DELA,2015-07-25,D08,BLWA,Ozarks Complex,D08_DELA_R1_P1_v1
2015_LENO_1,2015072013,2015,LENO,2015-07-20,D08,TOMB,Ozarks Complex,D08_LENO_R2_P1_v1
2015_LENO_1,2015072513,2015,LENO,2015-07-25,D08,TOMB,Ozarks Complex,D08_LENO_R2_P1_v1
2015_LENO_1,2015072112,2015,LENO,2015-07-21,D08,TOMB,Ozarks Complex,D08_LENO_R2_P1_v1
2016_HOPB_1,2016081813,2016,HOPB,2016-08-18,D01,HOPB,Northeast,D01_HOPB_C1_P2_v1
2016_DELA_2,2016050713,2016,DELA,2016-05-07,D08,BLWA,Ozarks Complex,D08_DELA_R1_P1_v1
2016_DELA_2,2016050813,2016,DELA,2016-05-08,D08,BLWA,Ozarks Complex,D08_DELA_R1_P1_v1
2016_WOOD_1,2016063017,2016,WOOD,2016-06-30,D09,PRLA,Northern Plains,D09_WOOD_DCFS_C1_P1_v2
2016_WOOD_1,2016063017,2016,WOOD,2016-06-30,D09,PRPO,Northern Plains,D09_WOOD_DCFS_C1_P1_v2
2016_WOOD_1,2016062913,2016,WOOD,2016-06-29,D09,PRLA,Northern Plains,D09_WOOD_DCFS_C1_P1_v2
2016_WOOD_1,2016062913,2016,WOOD,2016-06-29,D09,PRPO,Northern Plains,D09_WOOD_DCFS_C1_P1_v2
2016_LENO_2,2016050813,2016,LENO,2016-05-08,D08,TOMB,Ozarks Complex,D08_LENO_R2_P1_v1
2016_LENO_2,2016051413,2016,LENO,2016-05-14,D08,TOMB,Ozarks Complex,D08_LENO_R2_P1_v1
2016_TALL_2,2016050713,2016,TALL,2016-05-07,D08,MAYF,Ozarks Complex,D08_TALL_C1_P1_v1
2016_TALL_2,2016050614,2016,TALL,2016-05-06,D08,MAYF,Ozarks Complex,D08_TALL_C1_P1_v1
2016_SCBI_1,2016072113,2016,SCBI,2016-07-21,D02,POSE,Mid-Atlantic,D02_SCBI_C1_P1_v1
2016_SCBI_1,2016072013,2016,SCBI,2016-07-20,D02,POSE,Mid-Atlantic,D02_SCBI_C1_P1_v1
2016_SCBI_1,2016072313,2016,SCBI,2016-07-23,D02,POSE,Mid-Atlantic,D02_SCBI_C1_P1_v1
2016_GRSM_2,2016061018,2016,GRSM,2016-06-10,D07,LECO,Appalachians & Cumberland Plateau,D07_GRSM_R1_P1_all_v1
2016_GRSM_2,2016060817,2016,GRSM,2016-06-08,D07,LECO,Appalachians & Cumberland Plateau,D07_GRSM_R1_P1_all_v1
2016_GRSM_2,2016060812,2016,GRSM,2016-06-08,D07,LECO,Appalachians & Cumberland Plateau,D07_GRSM_R1_P1_all_v1
2016_GRSM_2,2016061413,2016,GRSM,2016-06-14,D07,LECO,Appalachians & Cumberland Plateau,D07_GRSM_R1_P1_all_v1
2016_GRSM_2,2016061112,2016,GRSM,2016-06-11,D07,LECO,Appalachians & Cumberland Plateau,D07_GRSM_R1_P1_all_v1
2016_GRSM_2,2016061013,2016,GRSM,2016-06-10,D07,LECO,Appalachians & Cumberland Plateau,D07_GRSM_R1_P1_all_v1
2016_GRSM_2,2016060913,2016,GRSM,2016-06-09,D07,LECO,Appalachians & Cumberland Plateau,D07_GRSM_R1_P1_all_v1
2016_UNDE_1,2016090214,2016,UNDE,2016-09-02,D05,CRAM,Great Lakes,D05_UNDE_C1_P1_v1
2016_BLAN_1,2016080717,2016,BLAN,2016-08-07,D02,LEWI,Mid-Atlantic,D02_BLAN_R2_P1_v1
2016_BLAN_1,2016080812,2016,BLAN,2016-08-08,D02,LEWI,Mid-Atlantic,D02_BLAN_R2_P1_v1
2016_BLAN_1,2016072715,2016,BLAN,2016-07-27,D02,LEWI,Mid-Atlantic,D02_BLAN_R2_P1_v1
2016_KONZ_1,2016071114,2016,KONZ,2016-07-11,D06,KING,Prairie Peninsula,D06_KONZ_KONA_C1_P1_v2
2016_KONZ_1,2016071514,2016,KONZ,2016-07-15,D06,KING,Prairie Peninsula,D06_KONZ_KONA_C1_P1_v2
2016_KONZ_1,2016071714,2016,KONZ,2016-07-17,D06,KING,Prairie Peninsula,D06_KONZ_KONA_C1_P1_v2
2016_JERC_2,2016092012,2016,JERC,2016-09-20,D03,FLNT,Southeast,D03_JERC_R2_P1_v1
2016_JERC_2,2016092212,2016,JERC,2016-09-22,D03,FLNT,Southeast,D03_JERC_R2_P1_v1
2016_OSBS_2,2016092313,2016,OSBS,2016-09-23,D03,BARC,Southeast,D03_OSBS_C1_P1_v1
2016_OSBS_2,2016092313,2016,OSBS,2016-09-23,D03,SUGG,Southeast,D03_OSBS_C1_P1_v1
2016_PRIN_2,2016042414,2016,PRIN,2016-04-24,D11,PRIN,Southern Plains,D11_PRIN_C1_P2_v2
2016_PRIN_2,2016042714,2016,PRIN,2016-04-27,D11,PRIN,Southern Plains,D11_PRIN_C1_P2_v2
2017_BLAN_2,2017073018,2017,BLAN,2017-07-30,D02,LEWI,Mid-Atlantic,D02_BLAN_R2_P1_v1
2017_BLAN_2,2017080113,2017,BLAN,2017-08-01,D02,LEWI,Mid-Atlantic,D02_BLAN_R2_P1_v1
2017_LENO_3,2017051717,2017,LENO,2017-05-17,D08,TOMB,Ozarks Complex,D08_LENO_R2_P1_v1
2017_LENO_3,2017052514,2017,LENO,2017-05-25,D08,TOMB,Ozarks Complex,D08_LENO_R2_P1_v1
2017_JERC_3,2017091714,2017,JERC,2017-09-17,D03,FLNT,Southeast,D03_JERC_R2_P1_v1
2017_JERC_3,2017091813,2017,JERC,2017-09-18,D03,FLNT,Southeast,D03_JERC_R2_P1_v1
2017_DELA_3,2017051617,2017,DELA,2017-05-16,D08,BLWA,Ozarks Complex,D08_DELA_R1_P1_v1
2017_DELA_3,2017052613,2017,DELA,2017-05-26,D08,BLWA,Ozarks Complex,D08_DELA_R1_P1_v1
2017_DELA_3,2017051513,2017,DELA,2017-05-15,D08,BLWA,Ozarks Complex,D08_DELA_R1_P1_v1
2017_TOOL_1,2017071418,2017,TOOL,2017-07-14,D18,TOOK,Tundra,D18_TOOL_C1_P1_v1
2017_TOOL_1,2017072820,2017,TOOL,2017-07-28,D18,TOOK,Tundra,D18_TOOL_C1_P1_v1
2017_TOOL_1,2017071318,2017,TOOL,2017-07-13,D18,TOOK,Tundra,D18_TOOL_C1_P1_v1
2017_TOOL_1,2017071818,2017,TOOL,2017-07-18,D18,TOOK,Tundra,D18_TOOL_C1_P1_v1
2017_TEAK_2,2017062815,2017,TEAK,2017-06-28,D17,TECR,Pacific Southwest,D17_TEAK_R2_P1_v3
2017_TEAK_2,2017062915,2017,TEAK,2017-06-29,D17,TECR,Pacific Southwest,D17_TEAK_R2_P1_v3
2017_TEAK_2,2017062715,2017,TEAK,2017-06-27,D17,TECR,Pacific Southwest,D17_TEAK_R2_P1_v3
2017_TEAK_2,2017063016,2017,TEAK,2017-06-30,D17,TECR,Pacific Southwest,D17_TEAK_R2_P1_v3
2017_SCBI_2,2017073013,2017,SCBI,2017-07-30,D02,POSE,Mid-Atlantic,D02_SCBI_C1_P1_v1
2017_WOOD_2,2017062614,2017,WOOD,2017-06-26,D09,PRLA,Northern Plains,D09_WOOD_DCFS_C1_P1_v2
2017_WOOD_2,2017062614,2017,WOOD,2017-06-26,D09,PRPO,Northern Plains,D09_WOOD_DCFS_C1_P1_v2
2017_WOOD_2,2017061914,2017,WOOD,2017-06-19,D09,PRLA,Northern Plains,D09_WOOD_DCFS_C1_P1_v2
2017_WOOD_2,2017061914,2017,WOOD,2017-06-19,D09,PRPO,Northern Plains,D09_WOOD_DCFS_C1_P1_v2
2017_WOOD_2,2017062117,2017,WOOD,2017-06-21,D09,PRLA,Northern Plains,D09_WOOD_DCFS_C1_P1_v2
2017_WOOD_2,2017062117,2017,WOOD,2017-06-21,D09,PRPO,Northern Plains,D09_WOOD_DCFS_C1_P1_v2
2017_ARIK_1,2017052514,2017,ARIK,2017-05-25,D10,ARIK,Central Plains,D10_ARIK_A1_P2_v2
2017_ARIK_1,2017052214,2017,ARIK,2017-05-22,D10,ARIK,Central Plains,D10_ARIK_A1_P2_v2
2017_PRIN_3,2017050214,2017,PRIN,2017-05-02,D11,PRIN,Southern Plains,D11_PRIN_C1_P2_v2
2017_WREF_1,2017061916,2017,WREF,2017-06-19,D16,MART,Pacific Northwest,D16_WREF_C1_P1_v2
2017_WREF_1,2017062215,2017,WREF,2017-06-22,D16,MART,Pacific Northwest,D16_WREF_C1_P1_v2
2017_WREF_1,2017062122,2017,WREF,2017-06-21,D16,MART,Pacific Northwest,D16_WREF_C1_P1_v2
2017_WREF_1,2017062117,2017,WREF,2017-06-21,D16,MART,Pacific Northwest,D16_WREF_C1_P1_v2
2017_NIWO_1,2017090415,2017,NIWO,2017-09-04,D13,COMO,Southern Rockies & Colorado Plateau,D13_NIWO_C1_P1_v2
2017_NIWO_1,2017090615,2017,NIWO,2017-09-06,D13,COMO,Southern Rockies & Colorado Plateau,D13_NIWO_C1_P1_v2
2017_NIWO_1,2017092118,2017,NIWO,2017-09-21,D13,COMO,Southern Rockies & Colorado Plateau,D13_NIWO_C1_P1_v2
2017_MCDI_1,2017060516,2017,MCDI,2017-06-05,D06,MCDI,Prairie Peninsula,D06_MCDI_C1_P2_v1
2017_KONZ_2,2017060914,2017,KONZ,2017-06-09,D06,KING,Prairie Peninsula,D06_KONZ_KONA_C1_P1_v2
2017_KONZ_2,2017060516,2017,KONZ,2017-06-05,D06,KING,Prairie Peninsula,D06_KONZ_KONA_C1_P1_v2
2017_TALL_3,2017051413,2017,TALL,2017-05-14,D08,MAYF,Ozarks Complex,D08_TALL_C1_P1_v1
2017_WLOU_1,2017091315,2017,WLOU,2017-09-13,D13,WLOU,Southern Rockies & Colorado Plateau,D13_WLOU_A1_P1_v1
2017_SOAP_2,2017062715,2017,SOAP,2017-06-27,D17,BIGC,Pacific Southwest,D17_SOAP_R1_P1_v2
2017_SOAP_2,2017062615,2017,SOAP,2017-06-26,D17,BIGC,Pacific Southwest,D17_SOAP_R1_P1_v2
2017_BONA_1,2017073118,2017,BONA,2017-07-31,D19,CARI,Taiga,D19_BONA_C1_P1_v1
2017_BONA_1,2017080518,2017,BONA,2017-08-05,D19,CARI,Taiga,D19_BONA_C1_P1_v1
2017_BONA_1,2017080618,2017,BONA,2017-08-06,D19,CARI,Taiga,D19_BONA_C1_P1_v1
2017_LIRO_1,2017091117,2017,LIRO,2017-09-11,D05,LIRO,Great Lakes,D05_LIRO_A1_P2_v1
2017_HOPB_2,2017082315,2017,HOPB,2017-08-23,D01,HOPB,Northeast,D01_HOPB_C1_P2_v1
2017_REDB_1,2017053115,2017,REDB,2017-05-31,D15,REDB,Great Basin,D15_REDB_A1_P1_v1
2017_OSBS_3,2017092713,2017,OSBS,2017-09-27,D03,BARC,Southeast,D03_OSBS_C1_P1_v1
2017_OSBS_3,2017092713,2017,OSBS,2017-09-27,D03,SUGG,Southeast,D03_OSBS_C1_P1_v1
2017_UNDE_2,2017091214,2017,UNDE,2017-09-12,D05,CRAM,Great Lakes,D05_UNDE_C1_P1_v1
2017_UNDE_2,2017090118,2017,UNDE,2017-09-01,D05,CRAM,Great Lakes,D05_UNDE_C1_P1_v1
2017_BLUE_1,2017050613,2017,BLUE,2017-05-06,D11,BLUE,Southern Plains,D11_BLUE_A2_P1_v1
2017_BLUE_1,2017050613,2017,BLUE,2017-05-06,D11,BLUE,Southern Plains,D11_BLUE_A2_P2_v2
2017_GRSM_3,2017101914,2017,GRSM,2017-10-19,D07,LECO,Appalachians & Cumberland Plateau,D07_GRSM_R1_P1_all_v1
2017_GRSM_3,2017100614,2017,GRSM,2017-10-06,D07,LECO,Appalachians & Cumberland Plateau,D07_GRSM_R1_P1_all_v1
2017_GRSM_3,2017102615,2017,GRSM,2017-10-26,D07,LECO,Appalachians & Cumberland Plateau,D07_GRSM_R1_P1_all_v1
2017_GRSM_3,2017102014,2017,GRSM,2017-10-20,D07,LECO,Appalachians & Cumberland Plateau,D07_GRSM_R1_P1_all_v1
2017_GRSM_3,2017101715,2017,GRSM,2017-10-17,D07,LECO,Appalachians & Cumberland Plateau,D07_GRSM_R1_P1_all_v1
2017_GRSM_3,2017101216,2017,GRSM,2017-10-12,D07,LECO,Appalachians & Cumberland Plateau,D07_GRSM_R1_P1_all_v1
