uid,domainID,siteID,namedLocation,collectDate,analyte,analyteConcentration,analyteUnits,sampleCondition,date,sensor_position,median_fDOM,sd_fDOM,se_fDOM
0d7d1c40-37ee-408f-b40d-da469d8debee,D04,CUPE,CUPE.AOS.S2,2014-12-30T12:26:00Z,DOC,0.7642,milligramsPerLiter,GOOD,2014-12-30,NA,NA,NA,NA
faedbb42-c4bf-4791-ae4e-1314d9bd437f,D04,CUPE,CUPE.AOS.S2,2015-01-20T13:50:00Z,DOC,1.251,milligramsPerLiter,GOOD,2015-01-20,NA,NA,NA,NA
9319f90b-1fa7-4100-863c-866f39701a91,D04,CUPE,CUPE.AOS.S2,2015-02-03T15:24:00Z,DOC,1.052,milligramsPerLiter,Other,2015-02-03,NA,NA,NA,NA
2bebd9cb-e173-4366-bd7a-4a27d26430ff,D04,CUPE,CUPE.AOS.S2,2015-02-25T13:54:00Z,DOC,1.349,milligramsPerLiter,GOOD,2015-02-25,NA,NA,NA,NA
22dd13f0-0456-4afb-83a8-c2d0d08c0936,D04,CUPE,CUPE.AOS.S2,2015-03-24T13:30:00Z,DOC,0.9393,milligramsPerLiter,GOOD,2015-03-24,NA,NA,NA,NA
5bc7bad5-522b-4682-9534-ed4a09fa4568,D04,CUPE,CUPE.AOS.S2,2016-10-04T12:35:00Z,DOC,1.543,milligramsPerLiter,GOOD,2016-10-04,NA,NA,NA,NA
66a793fd-e7b0-4a37-8c5d-2615231f54f5,D04,CUPE,CUPE.AOS.S2,2016-10-17T11:25:00Z,DOC,1.22,milligramsPerLiter,GOOD,2016-10-17,NA,NA,NA,NA
d298878c-ca8a-4349-9e0e-3636b9433c29,D04,CUPE,CUPE.AOS.S2,2016-10-25T12:57:00Z,DOC,3.484,milligramsPerLiter,GOOD,2016-10-25,NA,NA,NA,NA
6fa6da65-87b4-4e4a-8f66-0061d18b89ed,D04,CUPE,CUPE.AOS.S2,2016-10-31T11:35:00Z,DOC,2.201,milligramsPerLiter,GOOD,2016-10-31,NA,NA,NA,NA
3e036f73-09a1-422c-bfe9-e2d9dda32f8d,D04,CUPE,CUPE.AOS.S2,2016-11-07T12:58:00Z,DOC,1.494,milligramsPerLiter,GOOD,2016-11-07,NA,NA,NA,NA
