uid,domainID,siteID,namedLocation,collectDate,analyte,analyteConcentration,analyteUnits,sampleCondition,date,sensor_position,median_fDOM,sd_fDOM,se_fDOM
b5648439-9d0d-4469-8bed-cbc1d94ca87d,D01,HOPB,HOPB.AOS.S2,2016-10-18T13:50:00Z,DOC,2.105,milligramsPerLiter,GOOD,2016-10-18,NA,NA,NA,NA
dead4704-6bc5-4074-aca3-4239324f7b9b,D01,HOPB,HOPB.AOS.S2,2016-11-10T14:50:00Z,DOC,2.998,milligramsPerLiter,GOOD,2016-11-10,NA,NA,NA,NA
3ec5f9c6-7977-48bd-ad74-6338777c8a4c,D01,HOPB,HOPB.AOS.S2,2016-11-17T14:40:00Z,DOC,4.333,milligramsPerLiter,GOOD,2016-11-17,NA,NA,NA,NA
85addd1c-fc77-498e-a115-0b23589cbf20,D01,HOPB,HOPB.AOS.S2,2016-12-07T14:50:00Z,DOC,2.87,milligramsPerLiter,GOOD,2016-12-07,NA,NA,NA,NA
f6b6f1ab-dedc-4390-9a07-3644039fbb73,D01,HOPB,HOPB.AOS.S2,2016-12-14T14:50:00Z,DOC,2.726,milligramsPerLiter,GOOD,2016-12-14,NA,NA,NA,NA
e2f4aaad-82e8-4042-a0a7-4303b720eea6,D01,HOPB,HOPB.AOS.S2,2017-01-17T15:30:00Z,DOC,2.77,milligramsPerLiter,GOOD,2017-01-17,NA,NA,NA,NA
e923f6d7-ad22-4f91-b139-f50850ed56e6,D01,HOPB,HOPB.AOS.S2,2017-01-25T15:02:00Z,DOC,2.327,milligramsPerLiter,GOOD,2017-01-25,NA,NA,NA,NA
9fdb97ad-f01d-4861-b403-ffd140d6eb66,D01,HOPB,HOPB.AOS.S2,2017-02-14T15:40:00Z,DOC,1.862,milligramsPerLiter,GOOD,2017-02-14,NA,NA,NA,NA
23cb106d-d934-43ff-ad57-254422e75093,D01,HOPB,HOPB.AOS.S2,2017-02-21T14:55:00Z,DOC,2.037,milligramsPerLiter,GOOD,2017-02-21,NA,NA,NA,NA
5eb6cb38-13be-4d75-bd9e-e23bbba79d68,D01,HOPB,HOPB.AOS.S2,2017-03-06T15:35:00Z,DOC,NA,milligramsPerLiter,Other,2017-03-06,NA,NA,NA,NA
81a52b0a-46dd-4c61-8529-65f99d1a0568,D01,HOPB,HOPB.AOS.S2,2017-03-16T14:30:00Z,DOC,1.818,milligramsPerLiter,GOOD,2017-03-16,NA,NA,NA,NA
9fc35d81-495a-4cfc-919e-ba18a9b13dc5,D01,HOPB,HOPB.AOS.S2,2017-03-20T13:00:00Z,DOC,1.592,milligramsPerLiter,GOOD,2017-03-20,NA,NA,NA,NA
d6a74695-d44a-4b2c-a5fa-fc946f41f8c2,D01,HOPB,HOPB.AOS.S2,2017-03-29T15:35:00Z,DOC,3.485,milligramsPerLiter,GOOD,2017-03-29,NA,NA,NA,NA
9ab00353-39ec-4a6d-be4a-6061a6c1ed26,D01,HOPB,HOPB.AOS.S2,2017-04-05T14:05:00Z,DOC,3.469,milligramsPerLiter,GOOD,2017-04-05,NA,NA,NA,NA
9c1e0ca7-36cc-48c4-9513-cda1d5ef7820,D01,HOPB,HOPB.AOS.S2,2017-04-11T13:30:00Z,DOC,2.577,milligramsPerLiter,GOOD,2017-04-11,NA,NA,NA,NA
6a1988e1-3c6d-4370-9a94-c2e19156b520,D01,HOPB,HOPB.AOS.S2,2017-04-17T13:30:00Z,DOC,2.911,milligramsPerLiter,GOOD,2017-04-17,NA,NA,NA,NA
ffcaae29-792f-40c1-9c68-f17ec6658e02,D01,HOPB,HOPB.AOS.S2,2017-04-26T14:15:00Z,DOC,3.736,milligramsPerLiter,GOOD,2017-04-26,NA,NA,NA,NA
db7fdb03-208b-45b9-baf0-c8765a5c4924,D01,HOPB,HOPB.AOS.S2,2017-05-09T09:46:00Z,DOC,2.654,milligramsPerLiter,GOOD,2017-05-09,NA,NA,NA,NA
7f803b30-accb-4b7e-b897-45a3dea013ed,D01,HOPB,HOPB.AOS.S2,2017-05-15T09:55:00Z,DOC,3.333,milligramsPerLiter,GOOD,2017-05-15,NA,NA,NA,NA
