uid,domainID,siteID,namedLocation,collectDate,analyte,analyteConcentration,analyteUnits,sampleCondition,date,sensor_position,median_fDOM,sd_fDOM,se_fDOM
b5c870ca-80d7-4b1c-9595-5a1670b6fc56,D02,LEWI,LEWI.AOS.S2,2016-10-05T13:25:00Z,DOC,0.9852,milligramsPerLiter,GOOD,2016-10-05,NA,NA,NA,NA
7fece614-6c4e-4bf4-84d5-0c5ca3811d12,D02,LEWI,LEWI.AOS.S2,2016-10-19T13:52:00Z,DOC,1.321,milligramsPerLiter,GOOD,2016-10-19,NA,NA,NA,NA
09e9b514-3044-482c-813b-04fa96c7e4ee,D02,LEWI,LEWI.AOS.S2,2016-11-09T15:00:00Z,DOC,1.488,milligramsPerLiter,GOOD,2016-11-09,NA,NA,NA,NA
b9e0434a-37e5-4181-9869-8e7c2ab2553b,D02,LEWI,LEWI.AOS.S2,2016-11-30T14:32:00Z,DOC,2.196,milligramsPerLiter,GOOD,2016-11-30,NA,NA,NA,NA
b3d5aa02-826b-48c9-b924-1f3a2b3efce8,D02,LEWI,LEWI.AOS.S2,2016-12-07T14:36:00Z,DOC,2.027,milligramsPerLiter,GOOD,2016-12-07,NA,NA,NA,NA
29ce182f-abea-455d-9418-bd5c1560fc61,D02,LEWI,LEWI.AOS.S2,2017-01-11T14:30:00Z,DOC,0.7354,milligramsPerLiter,GOOD,2017-01-11,NA,NA,NA,NA
e6a6f519-2342-4ee8-a401-a32fa0267da5,D02,LEWI,LEWI.AOS.S2,2017-01-25T15:16:00Z,DOC,1.514,milligramsPerLiter,GOOD,2017-01-25,NA,NA,NA,NA
99b6148c-247e-48d5-89f9-2ec5b19de9f6,D02,LEWI,LEWI.AOS.S2,2017-02-01T14:22:00Z,DOC,0.9854,milligramsPerLiter,GOOD,2017-02-01,NA,NA,NA,NA
92a2dfdb-5cb6-493e-ba5f-6e1d458c91e2,D02,LEWI,LEWI.AOS.S2,2017-02-15T15:02:00Z,DOC,2.292,milligramsPerLiter,GOOD,2017-02-15,NA,NA,NA,NA
9512e7ff-d045-4ea1-90e9-038054c67ef0,D02,LEWI,LEWI.AOS.S2,2017-03-01T14:50:00Z,DOC,1.041,milligramsPerLiter,GOOD,2017-03-01,NA,NA,NA,NA
ae20dfef-a3c5-42ab-bad7-f8506740ae05,D02,LEWI,LEWI.AOS.S2,2017-03-07T16:15:00Z,DOC,1.007,milligramsPerLiter,GOOD,2017-03-07,NA,NA,NA,NA
428cb5df-ed97-4caa-b924-cd3aea8725d1,D02,LEWI,LEWI.AOS.S2,2017-03-15T13:45:00Z,DOC,1,milligramsPerLiter,GOOD,2017-03-15,NA,NA,NA,NA
c415719b-5d29-4499-8cb4-ad50f990f41d,D02,LEWI,LEWI.AOS.S2,2017-03-27T13:46:00Z,DOC,1.257,milligramsPerLiter,GOOD,2017-03-27,NA,NA,NA,NA
577c163e-414a-4b5a-adc2-5ae49669449a,D02,LEWI,LEWI.AOS.S2,2017-04-19T13:46:00Z,DOC,1.253,milligramsPerLiter,GOOD,2017-04-19,NA,NA,NA,NA
71cad802-c3dc-4b7a-9569-1d91083a6c7a,D02,LEWI,LEWI.AOS.S2,2017-04-26T13:21:00Z,DOC,1.272,milligramsPerLiter,GOOD,2017-04-26,NA,NA,NA,NA
b1061c8b-f9f1-4081-ab7d-aee2104f832e,D02,LEWI,LEWI.AOS.S2,2017-05-03T09:30:00Z,DOC,1.13,milligramsPerLiter,GOOD,2017-05-03,NA,NA,NA,NA
7d9d8a31-b8d7-4414-b38e-39fa41858d34,D02,LEWI,LEWI.AOS.S2,2017-05-10T09:13:00Z,DOC,1.035,milligramsPerLiter,GOOD,2017-05-10,NA,NA,NA,NA
63d4455e-a441-48c4-8e51-a4aa1bba8c74,D02,LEWI,LEWI.AOS.S2,2017-05-24T09:20:00Z,DOC,1.157,milligramsPerLiter,GOOD,2017-05-24,NA,NA,NA,NA
