uid,domainID,siteID,namedLocation,collectDate,analyte,analyteConcentration,analyteUnits,sampleCondition,date,sensor_position,median_fDOM,sd_fDOM,se_fDOM
21325ea9-a489-4240-98e1-1c741fbf2bb0,D02,POSE,POSE.AOS.S2,2014-10-28T13:45:00Z,DOC,1.86,milligramsPerLiter,Other,2014-10-28,NA,NA,NA,NA
2e90e392-bf02-47d9-afbf-e9d64eeae10c,D02,POSE,POSE.AOS.S2,2014-11-12T20:23:00Z,DOC,1.679,milligramsPerLiter,Other,2014-11-12,NA,NA,NA,NA
e39f5a39-7403-4020-869f-1c25993d1836,D02,POSE,POSE.AOS.S2,2014-11-25T14:01:00Z,DOC,2.067,milligramsPerLiter,GOOD,2014-11-25,NA,NA,NA,NA
7a5e2022-8eb4-402e-8b36-027591d6de7f,D02,POSE,POSE.AOS.S2,2014-12-08T14:24:00Z,DOC,1.79,milligramsPerLiter,Other,2014-12-08,NA,NA,NA,NA
cea24920-3621-427f-8366-1dc3e19eba28,D02,POSE,POSE.AOS.S2,2015-01-13T15:00:00Z,DOC,1.259,milligramsPerLiter,GOOD,2015-01-13,NA,NA,NA,NA
036e38d0-1662-43ca-9e19-ad2c833621bb,D02,POSE,POSE.AOS.S2,2015-01-28T14:46:00Z,DOC,1.085,milligramsPerLiter,Other,2015-01-28,NA,NA,NA,NA
8a03fc8c-1dbd-44dc-bb2e-fea0728ab998,D02,POSE,POSE.AOS.S2,2015-02-03T15:10:00Z,DOC,0.9549,milligramsPerLiter,Other,2015-02-03,NA,NA,NA,NA
34815133-3292-4265-89ce-b60cec2aab63,D02,POSE,POSE.AOS.S2,2015-02-10T14:40:00Z,DOC,1.111,milligramsPerLiter,GOOD,2015-02-10,NA,NA,NA,NA
26bb8dfe-7787-44f5-8059-035b16f82c9c,D02,POSE,POSE.AOS.S2,2015-02-26T16:00:00Z,DOC,0.7849,milligramsPerLiter,GOOD,2015-02-26,NA,NA,NA,NA
b7d4e20f-b0d1-4770-a6be-572bd0f20fb8,D02,POSE,POSE.AOS.S2,2015-03-03T14:22:00Z,DOC,0.8487,milligramsPerLiter,GOOD,2015-03-03,NA,NA,NA,NA
247c4498-96a6-4ca5-badb-1a19f129f233,D02,POSE,POSE.AOS.S2,2015-03-12T14:25:00Z,DOC,1.463,milligramsPerLiter,GOOD,2015-03-12,NA,NA,NA,NA
89012904-7a44-405d-bc48-2105634697ea,D02,POSE,POSE.AOS.S2,2015-03-24T13:16:00Z,DOC,1.48,milligramsPerLiter,GOOD,2015-03-24,NA,NA,NA,NA
bc3ea7e9-3775-41dd-98b9-152d77ebbefe,D02,POSE,POSE.AOS.S2,2015-04-07T13:42:00Z,DOC,5.808,milligramsPerLiter,GOOD,2015-04-07,NA,NA,NA,NA
