uid,domainID,siteID,namedLocation,collectDate,analyte,analyteConcentration,analyteUnits,sampleCondition,date,sensor_position,median_fDOM,sd_fDOM,se_fDOM
2250b4b9-90b9-4f56-803c-7da6687015d0,D14,SYCA,SYCA.AOS.S2,2017-06-20T17:05:00Z,DOC,2.166,milligramsPerLiter,GOOD,2017-06-20,NA,NA,NA,NA
9c2dc336-9873-4e57-aa76-2b8dcc5bde04,D14,SYCA,SYCA.AOS.S2,2017-07-11T14:30:00Z,DOC,2.223,milligramsPerLiter,GOOD,2017-07-11,NA,NA,NA,NA
a7264e43-784d-4f4c-9c55-106fff93ec47,D14,SYCA,SYCA.AOS.S2,2017-07-25T16:20:00Z,DOC,2.207,milligramsPerLiter,GOOD,2017-07-25,NA,NA,NA,NA
eaaf9476-b088-48e3-9841-6483e3f6937c,D14,SYCA,SYCA.AOS.S2,2017-08-01T14:08:00Z,DOC,2.09,milligramsPerLiter,GOOD,2017-08-01,NA,NA,NA,NA
0f641826-e2f5-4e77-b960-d94b88205f88,D14,SYCA,SYCA.AOS.S2,2017-09-05T16:59:00Z,DOC,2.085,milligramsPerLiter,GOOD,2017-09-05,NA,NA,NA,NA
028d648e-21e4-4328-a3c2-7fa54478377c,D14,SYCA,SYCA.AOS.S2,2017-09-05T16:59:00Z,DOC,2.649,milligramsPerLiter,GOOD,2017-09-05,NA,NA,NA,NA
7ea46b4b-e0a9-4cde-9091-6c7691a70243,D14,SYCA,SYCA.AOS.S2,2017-09-05T16:59:00Z,DOC,2.291,milligramsPerLiter,GOOD,2017-09-05,NA,NA,NA,NA
f300b612-c477-45e6-9893-48e9193289fa,D14,SYCA,SYCA.AOS.reach,2017-10-03T17:00:00Z,DOC,1.918,milligramsPerLiter,GOOD,2017-10-03,NA,NA,NA,NA
6bc386a3-2457-447a-aaa3-8ab477dfd506,D14,SYCA,SYCA.AOS.reach,2018-07-17T19:32:00Z,DOC,NA,milligramsPerLiter,Other,2018-07-17,NA,NA,NA,NA
2502b2e6-17f9-4f3d-a57c-f269b3704b46,D14,SYCA,SYCA.AOS.S2,2018-07-31T17:34:00Z,DOC,20.43,milligramsPerLiter,GOOD,2018-07-31,NA,NA,NA,NA
