domanID,siteID,namedLocation,domainName,flightbxID,aop_site_id,sitetype,YearSiteVisit,FlightDate,year,flightdate
D01,HOPB,HOPB.AOS.S2,Northeast,D01_HOPB_C1_P2_v1,HOPB,S2,2016_HOPB_1,2016081813,2016,2016-08-18
D01,HOPB,HOPB.AOS.S2,Northeast,D01_HOPB_C1_P2_v1,HOPB,S2,2017_HOPB_2,2017082315,2017,2017-08-23
D01,HOPB,HOPB.AOS.S2,Northeast,D01_HOPB_C1_P2_v1,HOPB,S2,2019_HOPB_3,2019082613,2019,2019-08-26
D02,LEWI,LEWI.AOS.S2,Mid-Atlantic,D02_BLAN_R2_P1_v1,BLAN,S2,2016_BLAN_1,2016080717,2016,2016-08-07
D02,LEWI,LEWI.AOS.S2,Mid-Atlantic,D02_BLAN_R2_P1_v1,BLAN,S2,2016_BLAN_1,2016080812,2016,2016-08-08
D02,LEWI,LEWI.AOS.S2,Mid-Atlantic,D02_BLAN_R2_P1_v1,BLAN,S2,2016_BLAN_1,2016072715,2016,2016-07-27
D02,LEWI,LEWI.AOS.S2,Mid-Atlantic,D02_BLAN_R2_P1_v1,BLAN,S2,2017_BLAN_2,2017073018,2017,2017-07-30
D02,LEWI,LEWI.AOS.S2,Mid-Atlantic,D02_BLAN_R2_P1_v1,BLAN,S2,2017_BLAN_2,2017080113,2017,2017-08-01
D02,LEWI,LEWI.AOS.S2,Mid-Atlantic,D02_BLAN_R2_P1_v1,BLAN,S2,2019_BLAN_3,2019060113,2019,2019-06-01
D02,LEWI,LEWI.AOS.S2,Mid-Atlantic,D02_BLAN_R2_P1_v1,BLAN,S2,2019_BLAN_3,2019052815,2019,2019-05-28
D02,POSE,POSE.AOS.S2,Mid-Atlantic,D02_SCBI_C1_P1_v1,SCBI,S2,2016_SCBI_1,2016072113,2016,2016-07-21
D02,POSE,POSE.AOS.S2,Mid-Atlantic,D02_SCBI_C1_P1_v1,SCBI,S2,2016_SCBI_1,2016072013,2016,2016-07-20
D02,POSE,POSE.AOS.S2,Mid-Atlantic,D02_SCBI_C1_P1_v1,SCBI,S2,2016_SCBI_1,2016072313,2016,2016-07-23
D02,POSE,POSE.AOS.S2,Mid-Atlantic,D02_SCBI_C1_P1_v1,SCBI,S2,2017_SCBI_2,2017073013,2017,2017-07-30
D02,POSE,POSE.AOS.S2,Mid-Atlantic,D02_SCBI_C1_P1_v1,SCBI,S2,2019_SCBI_3,2019060113,2019,2019-06-01
D02,POSE,POSE.AOS.S2,Mid-Atlantic,D02_SCBI_C1_P1_v1,SCBI,S2,2019_SCBI_3,2019052413,2019,2019-05-24
D03,BARC,BARC.AOS.buoy.c0,Southeast,D03_OSBS_C1_P1_v1,OSBS,buoy.c0,2016_OSBS_2,2016092313,2016,2016-09-23
D03,BARC,BARC.AOS.buoy.c0,Southeast,D03_OSBS_C1_P1_v1,OSBS,buoy.c0,2017_OSBS_3,2017092713,2017,2017-09-27
D03,BARC,BARC.AOS.buoy.c0,Southeast,D03_OSBS_C1_P1_v1,OSBS,buoy.c0,2018_OSBS_4,2018100513,2018,2018-10-05
D03,BARC,BARC.AOS.buoy.c0,Southeast,D03_OSBS_C1_P1_v1,OSBS,buoy.c0,2018_OSBS_4,2018101214,2018,2018-10-12
D03,BARC,BARC.AOS.buoy.c0,Southeast,D03_OSBS_C1_P1_v1,OSBS,buoy.c0,2018_OSBS_4,2018091513,2018,2018-09-15
D03,BARC,BARC.AOS.buoy.c0,Southeast,D03_OSBS_C1_P1_v1,OSBS,buoy.c0,2019_OSBS_5,2019041512,2019,2019-04-15
D03,BARC,BARC.AOS.buoy.c0,Southeast,D03_OSBS_C1_P1_v1,OSBS,buoy.c0,2019_OSBS_5,2019041612,2019,2019-04-16
D03,BARC,BARC.AOS.buoy.c0,Southeast,D03_OSBS_C1_P1_v1,OSBS,buoy.c0,2019_OSBS_5,2019042113,2019,2019-04-21
D03,BARC,BARC.AOS.buoy.c0,Southeast,D03_OSBS_C1_P1_v1,OSBS,buoy.c0,2019_OSBS_5,2019042213,2019,2019-04-22
D03,BARC,BARC.AOS.inlet,Southeast,D03_OSBS_C1_P1_v1,OSBS,inlet,2016_OSBS_2,2016092313,2016,2016-09-23
D03,BARC,BARC.AOS.inlet,Southeast,D03_OSBS_C1_P1_v1,OSBS,inlet,2017_OSBS_3,2017092713,2017,2017-09-27
D03,BARC,BARC.AOS.inlet,Southeast,D03_OSBS_C1_P1_v1,OSBS,inlet,2018_OSBS_4,2018100513,2018,2018-10-05
D03,BARC,BARC.AOS.inlet,Southeast,D03_OSBS_C1_P1_v1,OSBS,inlet,2018_OSBS_4,2018101214,2018,2018-10-12
D03,BARC,BARC.AOS.inlet,Southeast,D03_OSBS_C1_P1_v1,OSBS,inlet,2018_OSBS_4,2018091513,2018,2018-09-15
