domanID,siteid,year,sensor_position,first_aop_date,last_aop_date
D01,HOPB,2017,102,2017-08-23,2017-08-23
D01,HOPB,2019,102,2019-08-26,2019-08-26
D01,HOPB,2019,112,2019-08-26,2019-08-26
D02,LEWI,2017,102,2017-07-30,2017-08-01
D02,LEWI,2019,102,2019-05-28,2019-06-01
D02,POSE,2019,102,2019-05-24,2019-06-01
D03,BARC,2019,103,2019-04-15,2019-04-22
D03,FLNT,2018,103,2018-09-16,2018-09-20
D04,CUPE,2018,102,2018-05-20,2018-05-20
D05,CRAM,2020,103,2020-08-11,2020-08-11
D05,LIRO,2020,103,2020-08-16,2020-08-16
D06,KING,2017,102,2017-06-09,2017-06-09
D06,KING,2020,102,2020-07-07,2020-07-08
D06,MCDI,2020,102,2020-07-13,2020-07-13
D09,PRLA,2019,103,2019-07-26,2019-07-31
D09,PRLA,2020,103,2020-06-15,2020-07-02
D09,PRPO,2019,103,2019-07-22,2019-07-30
D09,PRPO,2020,103,2020-06-15,2020-07-02
D10,ARIK,2017,102,2017-05-22,2017-05-25
D12,BLDE,2020,102,2020-07-14,2020-07-14
D13,COMO,2017,102,2017-09-04,2017-09-06
D13,COMO,2019,102,2019-08-14,2019-08-26
D13,COMO,2020,102,2020-07-20,2020-08-07
D13,WLOU,2017,102,2017-09-13,2017-09-13
D13,WLOU,2019,102,2019-08-26,2019-08-26
D13,WLOU,2020,102,2020-07-29,2020-08-07
D14,SYCA,2019,102,2019-09-12,2019-09-12
D16,MART,2018,102,2018-07-08,2018-07-12
D16,MART,2019,102,2019-07-12,2019-07-14
D16,MCRA,2018,102,2018-07-16,2018-07-16
D17,BIGC,2018,102,2018-06-11,2018-06-12
D17,BIGC,2019,102,2019-06-11,2019-06-16
D18,TOOK,2019,103,2019-07-22,2019-07-23
D19,CARI,2018,102,2018-06-24,2018-08-11
D19,CARI,2019,102,2019-07-31,2019-08-11
