uid,domainID,siteID,namedLocation,collectDate,analyte,analyteConcentration,analyteUnits,sampleCondition
a8b2aebe-8003-4560-b5d1-e9a0face9253,D01,HOPB,HOPB.AOS.S2,2016-10-18T13:50:00Z,TSS,8.1,milligramsPerLiter,GOOD
0cbb8257-3691-43fa-b165-7d449f3fc6ae,D01,HOPB,HOPB.AOS.S2,2016-11-10T14:50:00Z,TSS,0.005,milligramsPerLiter,GOOD
23558d94-4b56-4a2c-90f5-078ca5da3de5,D01,HOPB,HOPB.AOS.S2,2016-11-17T14:40:00Z,TSS,0.05,milligramsPerLiter,GOOD
d0a6fe36-5ab8-43d5-a0d9-d5034ea917f0,D01,HOPB,HOPB.AOS.S2,2016-12-07T14:50:00Z,TSS,0,milligramsPerLiter,GOOD
60de3a2f-43b5-41de-acff-50cf5f4a3bdc,D01,HOPB,HOPB.AOS.S2,2016-12-14T14:50:00Z,TSS,0,milligramsPerLiter,GOOD
7a5a44fe-0d64-41e8-a339-c20b725e795d,D01,HOPB,HOPB.AOS.S2,2017-01-17T15:30:00Z,TSS,0,milligramsPerLiter,GOOD
b90037c0-6214-4d52-aaec-7a28e2f99033,D01,HOPB,HOPB.AOS.S2,2017-01-25T15:02:00Z,TSS,0,milligramsPerLiter,GOOD
b884486d-e535-4721-91a8-2f27280c7477,D01,HOPB,HOPB.AOS.S2,2017-02-14T15:40:00Z,TSS,0,milligramsPerLiter,GOOD
17cbed52-d3eb-4086-a3d1-389da9385fef,D01,HOPB,HOPB.AOS.S2,2017-02-21T14:55:00Z,TSS,0,milligramsPerLiter,GOOD
7da4e0f4-3b46-4719-b72b-3dc279eee4ee,D01,HOPB,HOPB.AOS.S2,2017-03-06T15:35:00Z,TSS,NA,milligramsPerLiter,Other
7eabb59d-283d-4ad5-9aa2-cfad61e7baf6,D01,HOPB,HOPB.AOS.S2,2017-03-16T14:30:00Z,TSS,0,milligramsPerLiter,GOOD
8204d93b-9f95-4f83-b9cc-c7e454632451,D01,HOPB,HOPB.AOS.S2,2017-03-20T13:00:00Z,TSS,0,milligramsPerLiter,GOOD
e3275a47-32f1-4f2f-8e1a-2bcce983959f,D01,HOPB,HOPB.AOS.S2,2017-03-29T15:35:00Z,TSS,4,milligramsPerLiter,GOOD
80b28d74-97ad-4440-a186-22ebd595da63,D01,HOPB,HOPB.AOS.S2,2017-04-05T14:05:00Z,TSS,4,milligramsPerLiter,GOOD
b7047b60-e04c-49c7-b15c-a315a293ab39,D01,HOPB,HOPB.AOS.S2,2017-04-11T13:30:00Z,TSS,4,milligramsPerLiter,GOOD
24680ec1-50f2-45f8-b4cf-65ac9c110476,D01,HOPB,HOPB.AOS.S2,2017-04-17T13:30:00Z,TSS,0,milligramsPerLiter,GOOD
8181b61d-00a1-463d-8a68-6f42df4dd1b6,D01,HOPB,HOPB.AOS.S2,2017-04-26T14:15:00Z,TSS,0,milligramsPerLiter,GOOD
c59f8a9c-13f8-404f-ba3a-92d187e8d387,D01,HOPB,HOPB.AOS.S2,2017-05-09T09:46:00Z,TSS,20,milligramsPerLiter,GOOD
0d5b4865-0151-4682-8868-3cbf55827110,D01,HOPB,HOPB.AOS.S2,2017-05-15T09:55:00Z,TSS,8,milligramsPerLiter,GOOD
e42438e7-e920-49e7-99ce-1e5424c1d97a,D01,HOPB,HOPB.AOS.S2,2017-05-31T09:30:00Z,TSS,12,milligramsPerLiter,GOOD
5f123536-6bb9-499f-95f0-7d9b1d0dbd5d,D01,HOPB,HOPB.AOS.S2,2017-06-20T12:56:00Z,TSS,3,milligramsPerLiter,GOOD
9f8f5af2-8114-46f1-ae1c-2ce2d07a1205,D01,HOPB,HOPB.AOS.S2,2017-07-10T16:09:00Z,TSS,1,milligramsPerLiter,GOOD
04cc392f-ed3c-4e13-a98f-934dea50641e,D01,HOPB,HOPB.AOS.S2,2017-07-25T12:30:00Z,TSS,8,milligramsPerLiter,GOOD
f8b01bca-3c4f-4877-84be-5ab17d53fbca,D01,HOPB,HOPB.AOS.S2,2017-08-08T12:57:00Z,TSS,2,milligramsPerLiter,GOOD
9f425ec5-327c-4eaf-a6b3-8c8290ec646c,D01,HOPB,HOPB.AOS.S2,2017-09-06T13:00:00Z,TSS,2,milligramsPerLiter,GOOD
370c361b-c65d-43d6-a11d-1f685f273853,D01,HOPB,HOPB.AOS.S2,2017-09-12T13:08:00Z,TSS,3426,milligramsPerLiter,GOOD
13fe901a-c70e-49ee-8134-7c4262deb38c,D01,HOPB,HOPB.AOS.S2,2017-10-17T12:39:00Z,TSS,2,milligramsPerLiter,GOOD
7e4a202b-bdb0-47fe-a125-a7346c8c3a79,D01,HOPB,HOPB.AOS.S2,2017-11-07T14:18:00Z,TSS,0,milligramsPerLiter,GOOD
356b902f-f012-407e-b5e4-f97511d3b442,D01,HOPB,HOPB.AOS.S2,2017-11-13T14:28:00Z,TSS,4,milligramsPerLiter,GOOD
9d0c0df4-8d64-4030-9a3c-be9e4bcc2104,D01,HOPB,HOPB.AOS.S2,2017-12-06T15:50:00Z,TSS,2,milligramsPerLiter,GOOD
84b6b100-d53b-40bc-b55e-1620d3533de4,D01,HOPB,HOPB.AOS.S2,2017-12-12T14:25:00Z,TSS,2,milligramsPerLiter,GOOD
47e71e10-952c-4cdf-a1ff-b6902f24cc8c,D01,HOPB,HOPB.AOS.S2,2018-01-25T14:42:00Z,TSS,2,milligramsPerLiter,GOOD
779a49e1-2952-4d4a-b20e-e45ecc19724e,D01,HOPB,HOPB.AOS.S2,2018-02-14T15:10:00Z,TSS,8,milligramsPerLiter,GOOD
985c7b42-c64b-4599-88de-619709a43f91,D01,HOPB,HOPB.AOS.S2,2018-02-20T15:12:00Z,TSS,4,milligramsPerLiter,GOOD
17dffb5f-5561-446b-b273-30f6155de73c,D01,HOPB,HOPB.AOS.S2,2018-02-28T14:33:00Z,TSS,4,milligramsPerLiter,GOOD
f8cb022b-39e4-4ef7-ab6f-af29a940f01f,D01,HOPB,HOPB.AOS.S2,2018-03-06T14:34:00Z,TSS,0,milligramsPerLiter,GOOD
ca75c6c5-2f69-4551-93cf-68b4c7bda4c6,D01,HOPB,HOPB.AOS.S2,2018-03-12T14:52:00Z,TSS,0,milligramsPerLiter,GOOD
df8785d1-4d2d-4066-a990-a38f292b7313,D01,HOPB,HOPB.AOS.S2,2018-03-19T14:21:00Z,TSS,0,milligramsPerLiter,GOOD
